AÑO,MES,PAISDESTINO,ADUANA,PESOTONELADAS,REGIONSALIDA,VIATRANSPORTE,PUERTOEMBARQUE,MONTOFOB,PRECIO_KG
2020,Febrero,Reino Unido,Talcahuano,21.344,Biobío,"Marítima, Fluvial y Lacustre",Coronel,94299.0,4.418056596701649
2020,Febrero,Alemania,Metropolitana,0.694,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8204.4,11.821902017291066
2020,Febrero,Alemania,Metropolitana,1.307,Metropolitana,Aéreo,Aerop. A. Merino Benítez,10929.24,8.362081101759756
2020,Febrero,Alemania,Metropolitana,2.102,Metropolitana,Aéreo,Aerop. A. Merino Benítez,24604.2,11.70513796384396
2020,Febrero,Canadá,Metropolitana,1.512,Metropolitana,Aéreo,Aerop. A. Merino Benítez,15662.8,10.35899470899471
2020,Febrero,China,Metropolitana,5.574,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8106.6,1.4543595263724436
2020,Febrero,China,Metropolitana,1.244,Metropolitana,Aéreo,Aerop. A. Merino Benítez,20742.18,16.673778135048234
2020,Febrero,China,Metropolitana,5.806,Metropolitana,Aéreo,Aerop. A. Merino Benítez,60534.28,10.426159145711333
2020,Febrero,China,Metropolitana,0.966,Metropolitana,Aéreo,Aerop. A. Merino Benítez,3615.38,3.7426293995859212
2020,Febrero,China,Metropolitana,1.3,Metropolitana,Aéreo,Aerop. A. Merino Benítez,23999.78,18.46136923076923
2020,Febrero,Corea del Sur,Metropolitana,0.193,Metropolitana,Aéreo,Aerop. A. Merino Benítez,174.05,0.9018134715025907
2020,Febrero,Corea del Sur,Metropolitana,2.874,Metropolitana,Aéreo,Aerop. A. Merino Benítez,26246.6,9.132428670842032
2020,Febrero,Corea del Sur,Metropolitana,12.46,Metropolitana,Aéreo,Aerop. A. Merino Benítez,79246.8,6.360096308186195
2020,Febrero,Emiratos Árabes Unidos,Metropolitana,0.612,Metropolitana,Aéreo,Aerop. A. Merino Benítez,5019.4,8.201633986928103
2020,Febrero,España,Metropolitana,1.436,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8297.32,5.77807799442897
2020,Febrero,España,Metropolitana,6.764,Metropolitana,Aéreo,Aerop. A. Merino Benítez,30190.78,4.463450620934358
2020,Febrero,Estados Unidos de América,Metropolitana,2.581,Metropolitana,Aéreo,Aerop. A. Merino Benítez,14640.97,5.672595893064704
2020,Febrero,Estados Unidos de América,Metropolitana,1.106,Metropolitana,Aéreo,Aerop. A. Merino Benítez,6333.53,5.7265189873417714
2020,Febrero,Estados Unidos de América,Metropolitana,2.992,Metropolitana,Aéreo,Aerop. A. Merino Benítez,8064.0,2.6951871657754007
2020,Febrero,Estados Unidos de América,Metropolitana,3.466,Metropolitana,Aéreo,Aerop. A. Merino Benítez,15840.0,4.570109636468552
2020,Febrero,Estados Unidos de América,Metropolitana,3.485,Metropolitana,Aéreo,Aerop. A. Merino Benítez,25080.0,7.196556671449068
2020,Febrero,Estados Unidos de América,Metropolitana,5.834,Metropolitana,Aéreo,Aerop. A. Merino Benítez,27000.0,4.628042509427495
2020,Febrero,Estados Unidos de América,Metropolitana,5.916,Metropolitana,Aéreo,Aerop. A. Merino Benítez,34905.0,5.900101419878296
2020,Febrero,Estados Unidos de América,Metropolitana,42.61,Metropolitana,Aéreo,Aerop. A. Merino Benítez,189347.21,4.443727059375733
2020,Febrero,Estados Unidos de América,Metropolitana,47.509,Metropolitana,Aéreo,Aerop. A. Merino Benítez,194233.0,4.088341156412469
2020,Febrero,Estados Unidos de América,Metropolitana,63.305,Metropolitana,Aéreo,Aerop. A. Merino Benítez,408900.38,6.459211436695364
2020,Febrero,Francia,Metropolitana,12.119,Metropolitana,Aéreo,Aerop. A. Merino Benítez,120440.16,9.93812690816074
2020,Febrero,Guatemala,Metropolitana,0.708,Metropolitana,Aéreo,Aerop. A. Merino Benítez,2909.0,4.108757062146893
2020,Febrero,India,Metropolitana,11.28,Metropolitana,Aéreo,Aerop. A. Merino Benítez,-464.4,-0.04117021276595744
